Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-dialab-pour-enfant-de-3ans-jusqua-16ans-5214582,Ensemble dialab pour enfant de 3ans jusqua 16ans,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3400230,Chaussures enfant,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-dialab-enfants-3pieces-5214607,Ensemble dialab enfants 3pièces,15000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3400235,Chaussures enfant,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-fillettes-3401225,Sandales fillettes,1500.0,"Patte d'oie, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-fillettes-3401227,Sandales fillettes,1500.0,"Patte d'oie, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialab-enfant-3pieces-5227233,Dialab enfant 3pièces,12000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3415124,Chaussures enfants,2000.0,"Mbao, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialab-pour-enfant-de-1ans-jusqua-16ans-5227274,Dialab pour enfant de 1ans jusqua 16ans,10000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-petites-filles-3415129,Sandales petites filles,2000.0,"Mbao, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-jordan-enfants-3429274,Baskets Nike Jordan enfants,,"Mbao, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialab-3-pieces-3ans-jusqua-16ans-5228280,Dialab 3 pièces  3ans jusqua 16ans,12000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-orthopediques-enfant-3429468,Chaussures orthopédiques enfant,4500.0,"Grand Yoff, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialab-5228687,Dialab,15000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3432590,Chaussures enfant,7000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussettes-bebe-3451771,Chaussettes bébé,9000.0,"HLM, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialaba-2-pieces-5233364,Dialaba  2 pièces,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3462497,Chaussures  enfant,,"Colobane, Dakar, Sénégal",
