Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5698972,Chaussures homme,25000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5698973,Chaussures homme,20000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5698976,Chaussures homme,23000.0,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_5698976_uploaded_image1_1767319672.jpg)
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5698977,Chaussures  homme,30000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5699778,Chaussures  homme,15000.0,"Point E, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/lacoste-gripshot-5683928,Lacoste Gripshot,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/nike-air-force-1-5683935,Nike Air force 1,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/lacoste-gripshot-5683925,Lacoste Gripshot,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/air-max-95-5677885,Air Max 95,22000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/air-max-95-5677887,Air Max 95,22000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/louis-vuitton-5677903,Louis vuitton,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/louis-vuitton-5677901,Louis vuitton,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/air-max-95-5677883,Air Max 95,22000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-vomero-5-grey-5670080,Baskets Vomero 5 Grey,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/louis-vuitton-5677899,Louis vuitton,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/air-max-95-5677895,Air Max 95,22000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-vomero-5-grey-5670091,Baskets Vomero 5 grey,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-air-force-one-low-5670087,Baskets Air Force one low,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-shox-5670096,Baskets Nike shox,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-air-force-one-5670093,Baskets Air force one,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-shox-r4-5670082,Chaussures Nike shox R4,25000.0,"Dakar, Sénégal",
